,Country,Start Year,Total Death Heat Wave,Total Death Cold Wave + Severe Winter Conditions,Total Death Country Year,Pct Death Heat Wave,Pct Death Cold Wave + Severe Winter Conditions
211,Ethiopia,2022,0.0,0.0,271.0,0.0,0.0
212,Ethiopia,2023,0.0,0.0,151.0,0.0,0.0
213,Ethiopia,2024,0.0,0.0,379.0,0.0,0.0
214,Fiji,2020,0.0,0.0,8.0,0.0,0.0
215,Fiji,2021,0.0,0.0,6.0,0.0,0.0
216,Fiji,2022,0.0,0.0,1.0,0.0,0.0
217,Fiji,2023,0.0,0.0,0.0,0.0,0.0
218,Finland,2022,225.0,0.0,225.0,100.0,0.0
219,Finland,2023,138.0,0.0,138.0,100.0,0.0
220,France,2020,1924.0,0.0,1944.0,98.97119341563786,0.0
221,France,2021,0.0,0.0,33.0,0.0,0.0
222,France,2022,4807.0,0.0,4823.0,99.66825627202985,0.0
223,France,2023,2734.0,0.0,2748.0,99.490538573508,0.0
224,France,2024,0.0,0.0,21.0,0.0,0.0
225,French Guiana,2020,0.0,0.0,0.0,0.0,0.0
226,Gabon,2023,0.0,0.0,37.0,0.0,0.0
227,Gabon,2024,0.0,0.0,0.0,0.0,0.0
228,Gambia,2021,0.0,0.0,10.0,0.0,0.0
229,Gambia,2022,0.0,0.0,6.0,0.0,0.0
230,Georgia,2020,0.0,0.0,17.0,0.0,0.0
231,Georgia,2021,0.0,0.0,0.0,0.0,0.0
232,Georgia,2022,0.0,0.0,0.0,0.0,0.0
233,Georgia,2023,0.0,0.0,18.0,0.0,0.0
234,Georgia,2024,0.0,0.0,12.0,0.0,0.0
235,Germany,2020,0.0,0.0,0.0,0.0,0.0
236,Germany,2021,0.0,0.0,227.0,0.0,0.0
237,Germany,2022,8173.0,0.0,8180.0,99.91442542787287,0.0
238,Germany,2023,6376.0,0.0,6380.0,99.93730407523512,0.0
239,Germany,2024,0.0,0.0,12.0,0.0,0.0
240,Ghana,2020,0.0,0.0,97.0,0.0,0.0
241,Ghana,2021,0.0,0.0,9.0,0.0,0.0
242,Ghana,2022,0.0,0.0,24.0,0.0,0.0
243,Ghana,2023,0.0,0.0,8.0,0.0,0.0
244,Greece,2020,0.0,0.0,22.0,0.0,0.0
245,Greece,2021,0.0,0.0,29.0,0.0,0.0
246,Greece,2022,3092.0,0.0,3149.0,98.18990155604953,0.0
247,Greece,2023,4339.0,0.0,4514.0,96.12317235268056,0.0
248,Greece,2024,0.0,0.0,42.0,0.0,0.0
249,Grenada,2024,0.0,0.0,8.0,0.0,0.0
250,Guadeloupe,2022,0.0,0.0,1.0,0.0,0.0
251,Guam,2023,0.0,0.0,2.0,0.0,0.0
252,Guatemala,2020,0.0,0.0,167.0,0.0,0.0
253,Guatemala,2021,0.0,0.0,2.0,0.0,0.0
254,Guatemala,2022,0.0,0.0,72.0,0.0,0.0
255,Guatemala,2023,0.0,0.0,164.0,0.0,0.0
256,Guatemala,2024,0.0,0.0,39.0,0.0,0.0
257,Guinea,2020,0.0,0.0,0.0,0.0,0.0
258,Guinea,2021,0.0,0.0,21.0,0.0,0.0
259,Guinea,2022,0.0,0.0,42.0,0.0,0.0
260,Guinea,2023,0.0,0.0,26.0,0.0,0.0
261,Guinea,2024,0.0,0.0,57.0,0.0,0.0
262,Guinea-Bissau,2021,0.0,0.0,14.0,0.0,0.0
263,Guinea-Bissau,2023,0.0,0.0,0.0,0.0,0.0
264,Guyana,2021,0.0,0.0,0.0,0.0,0.0
265,Guyana,2022,0.0,0.0,0.0,0.0,0.0
266,Haiti,2020,0.0,0.0,54.0,0.0,0.0
267,Haiti,2021,0.0,0.0,2643.0,0.0,0.0
268,Haiti,2022,0.0,0.0,520.0,0.0,0.0
269,Haiti,2023,0.0,0.0,80.0,0.0,0.0
270,Haiti,2024,0.0,0.0,108.0,0.0,0.0
271,Honduras,2020,0.0,0.0,132.0,0.0,0.0
272,Honduras,2021,0.0,0.0,0.0,0.0,0.0
273,Honduras,2022,0.0,0.0,14.0,0.0,0.0
274,Honduras,2023,0.0,0.0,18.0,0.0,0.0
275,Honduras,2024,0.0,0.0,20.0,0.0,0.0
276,Hungary,2022,513.0,0.0,513.0,100.0,0.0
277,Hungary,2023,294.0,0.0,294.0,100.0,0.0
278,Iceland,2023,0.0,0.0,0.0,0.0,0.0
279,India,2020,0.0,0.0,2441.0,0.0,0.0
280,India,2021,0.0,0.0,2302.0,0.0,0.0
281,India,2022,25.0,0.0,2505.0,0.998003992015968,0.0
282,India,2023,190.0,0.0,2611.0,7.276905400229797,0.0
283,India,2024,733.0,0.0,1849.0,39.64305029745809,0.0
284,Indonesia,2020,0.0,0.0,220.0,0.0,0.0
285,Indonesia,2021,0.0,0.0,696.0,0.0,0.0
286,Indonesia,2022,0.0,0.0,633.0,0.0,0.0
287,Indonesia,2023,0.0,0.0,157.0,0.0,0.0
288,Indonesia,2024,0.0,0.0,290.0,0.0,0.0
289,Iran (Islamic Republic of),2020,0.0,0.0,108.0,0.0,0.0
290,Iran (Islamic Republic of),2021,0.0,0.0,50.0,0.0,0.0
291,Iran (Islamic Republic of),2022,0.0,0.0,176.0,0.0,0.0
292,Iran (Islamic Republic of),2023,0.0,0.0,62.0,0.0,0.0
293,Iran (Islamic Republic of),2024,0.0,0.0,158.0,0.0,0.0
294,Iraq,2020,0.0,0.0,8.0,0.0,0.0
295,Iraq,2021,0.0,0.0,190.0,0.0,0.0
296,Iraq,2022,0.0,0.0,34.0,0.0,0.0
297,Iraq,2023,0.0,0.0,121.0,0.0,0.0
298,Iraq,2024,0.0,0.0,3.0,0.0,0.0
299,Ireland,2021,0.0,0.0,0.0,0.0,0.0
300,Ireland,2022,26.0,0.0,27.0,96.29629629629629,0.0
