,latitude,longitude,temp_data_present
363,50.0,160.0,no
364,-70.0,-110.0,no
365,40.0,-150.0,no
366,70.0,-20.0,no
367,-30.0,70.0,no
368,-10.0,150.0,no
369,-50.0,-90.0,no
370,50.0,170.0,no
371,80.0,120.0,no
372,-50.0,-100.0,no
373,60.0,-50.0,no
374,-50.0,-20.0,no
375,40.0,10.0,no
376,30.0,-150.0,no
377,10.0,-130.0,no
378,-30.0,10.0,no
379,-60.0,130.0,no
380,0.0,-40.0,no
381,0.0,-30.0,no
382,-15.0,-180.0,no
383,-40.0,-40.0,no
384,0.0,90.0,no
385,-20.0,180.0,no
386,-20.0,160.0,no
387,-40.0,110.0,no
388,0.0,130.0,no
389,20.0,-170.0,no
390,40.0,-40.0,no
391,-70.0,-175.0,no
392,10.0,-50.0,no
393,30.0,-10.0,no
394,70.0,10.0,no
395,-20.0,-130.0,no
396,50.0,150.0,no
397,-50.0,30.0,no
398,30.0,-80.0,no
399,-70.0,-100.0,no
400,10.0,-110.0,no
401,80.0,-120.0,no
402,-50.0,-10.0,no
403,-10.0,-150.0,no
404,-20.0,60.0,no
405,-50.0,90.0,no
406,-30.0,100.0,no
407,-70.0,-140.0,no
408,10.0,130.0,no
409,-50.0,-50.0,no
410,50.0,-160.0,no
411,-50.0,170.0,no
412,-40.0,140.0,no
413,-30.0,-30.0,no
414,20.0,140.0,no
415,-50.0,10.0,no
416,-40.0,-90.0,no
417,0.0,150.0,no
418,-70.0,-20.0,no
419,-10.0,-30.0,no
420,50.0,180.0,no
421,20.0,150.0,no
422,-20.0,-110.0,no
423,-25.0,-180.0,no
424,-30.0,60.0,no
425,10.0,70.0,no
426,30.0,-170.0,no
427,20.0,120.0,no
428,-20.0,-170.0,no
429,-40.0,30.0,no
430,-76.0,-180.0,no
431,60.0,-10.0,no
432,-58.0,-180.0,no
433,10.0,100.0,no
434,-60.0,-60.0,no
435,-20.0,-100.0,no
436,0.0,-160.0,no
437,-40.0,-80.0,no
438,-60.0,50.0,no
439,-19.0,-180.0,no
440,-70.0,-170.0,no
441,-10.0,-160.0,no
442,30.0,-160.0,no
443,10.0,-100.0,no
444,-33.0,-180.0,no
445,-20.0,-180.0,no
446,80.0,100.0,no
447,0.0,180.0,no
448,60.0,170.0,no
449,-62.0,-180.0,no
450,-50.0,-160.0,no
451,60.0,-40.0,no
452,20.0,-160.0,no
453,40.0,160.0,no
454,0.0,-150.0,no
455,-60.0,-150.0,no
456,30.0,-70.0,no
457,-20.0,-150.0,no
458,-10.0,-90.0,no
459,-40.0,-140.0,no
460,-60.0,-90.0,no
461,-50.0,-80.0,no
462,-50.0,-180.0,no
463,-30.0,-110.0,no
464,-30.0,-120.0,no
465,-40.0,0.0,no
466,-60.0,20.0,no
467,-50.0,20.0,no
468,-20.0,10.0,no
469,50.0,-60.0,no
470,80.0,-170.0,no
471,50.0,0.0,no
