,date,temp_max,temp_min,latitude,longitude,country,region,city,notes,min_mean,min_std,min_extreme,std_below_extreme
19,2021-02-14,-0.8230699999999729,-16.930119999999988,50,10,Germay,,Frankfurt,,0.3957522941176702,4.334163727448221,-10.439657024502882,1.4975121808142735
20,2022-04-03,3.2560700000000224,-5.925119999999993,50,10,Germay,,Frankfurt,,3.803464944444468,3.62892069173651,-5.268836784896807,0.18084804570064625
21,2022-04-04,4.789600000000007,-6.043129999999962,50,10,Germay,,Frankfurt,,3.803464944444468,3.62892069173651,-5.268836784896807,0.2133673565438655
22,2023-11-28,0.7609000000000492,-6.63979999999998,50,10,Germay,,Frankfurt,,2.82786906666669,3.4504258708076487,-5.7981956103524315,0.24391319250413343
23,2023-11-29,1.481650000000002,-6.915229999999951,50,10,Germay,,Frankfurt,,2.82786906666669,3.4504258708076487,-5.7981956103524315,0.3237381214586283
24,2020-06-14,21.675130000000024,6.492400000000032,20,-100,Mexico,,Mexico City,,10.828021500000023,1.141040611705081,7.97541997073732,1.2997083149575022
25,2020-06-15,22.092520000000036,7.309470000000033,20,-100,Mexico,,Mexico City,,10.828021500000023,1.141040611705081,7.97541997073732,0.5836338898947201
26,2021-01-01,19.01962000000003,0.94204000000002,20,-100,Mexico,,Mexico City,,5.012470483870991,1.5214768412392388,1.2087783807728938,0.17531543927781124
27,2021-01-02,20.773650000000032,0.7363000000000284,20,-100,Mexico,,Mexico City,,5.012470483870991,1.5214768412392388,1.2087783807728938,0.3105393180930924
28,2025-04-11,21.798429999999996,3.595360000000028,20,-100,Mexico,,Mexico City,,8.9734072777778,1.5935268948144568,4.989590040741659,0.874933485765842
29,2025-04-12,21.801000000000045,4.400200000000041,20,-100,Mexico,,Mexico City,,8.9734072777778,1.5935268948144568,4.989590040741659,0.36986513541727445
30,2025-04-13,22.892240000000015,3.211400000000026,20,-100,Mexico,,Mexico City,,8.9734072777778,1.5935268948144568,4.989590040741659,1.1158832941747603
31,2021-02-22,-30.282339999999976,-37.30433999999997,60,60,Russia,,,,-15.164588352941156,8.114978636240217,-35.4520349435417,0.2282575394821334
32,2021-02-23,-29.103959999999972,-37.836449999999985,60,60,Russia,,,,-15.164588352941156,8.114978636240217,-35.4520349435417,0.2938288766171072
33,2022-11-16,-18.40573999999998,-28.884619999999984,60,60,Russia,,,,-9.078041666666646,7.2296158247811055,-27.15208122861941,0.2396446524090417
34,2022-11-17,-20.40113999999997,-30.52694999999997,60,60,Russia,,,,-9.078041666666646,7.2296158247811055,-27.15208122861941,0.4668116333114761
35,2022-11-26,-20.34219999999999,-27.33798999999999,60,60,Russia,,,,-9.078041666666646,7.2296158247811055,-27.15208122861941,0.025714889405788154
36,2022-11-27,-20.716559999999987,-28.31085999999999,60,60,Russia,,,,-9.078041666666646,7.2296158247811055,-27.15208122861941,0.1602822057859025
37,2023-04-13,-1.0211499999999774,-13.348639999999987,60,60,Russia,,,,-2.9268359444444223,3.248864454603868,-11.048997080954091,0.7078297513419315
38,2023-04-14,-1.9212999999999736,-14.21024,60,60,Russia,,,,-2.9268359444444223,3.248864454603868,-11.048997080954091,0.9730301042772674
39,2023-04-15,1.9386800000000337,-12.17489999999998,60,60,Russia,,,,-2.9268359444444223,3.248864454603868,-11.048997080954091,0.34655275243951933
