,Country,ISO,Year,Population,Magnitude,Total_Heat_Deaths,Percentage_Heat_Deaths,Total_Cold_Deaths,Percentage_Cold_Deaths,Total_Deaths
231,Slovakia,SVK,2007,5374622.0,40.3,1.0,0.0018598076958842456,0.0,0.0,53769.0
232,Slovakia,SVK,2022,5431752.0,37.0,365.0,0.625128451051586,0.0,0.0,58388.0
233,Slovenia,SVN,2022,2112076.0,40.6,154.0,0.6846574489841284,0.0,0.0,22493.0
234,South Africa,ZAF,2007,50528584.0,0.0,0.0,0.0,22.0,0.0033179651221539024,663057.0
235,South Africa,ZAF,2016,57259551.0,45.0,11.0,0.0021182891156528087,0.0,0.0,519287.0
236,Spain,ESP,2003,42187645.0,40.0,15090.0,3.9801441186710695,0.0,0.0,379132.0
237,Spain,ESP,2006,44397319.0,40.0,21.0,0.005727595555385849,0.0,0.0,366646.0
238,Spain,ESP,2018,46782011.0,46.6,9.0,0.0021083109618114607,0.0,0.0,426882.0
239,Spain,ESP,2022,47786102.0,43.2,11324.0,2.351695135247391,0.0,0.0,481525.0
240,Spain,ESP,2023,48347910.0,45.4,8352.0,1.8665063568933575,0.0,0.0,447467.0
241,State of Palestine,PSE,2020,4803269.0,0.0,0.0,0.0,3.0,0.01745302228169178,17189.0
242,Sudan,SDN,2015,40024431.0,47.0,16.0,0.005655069062530926,0.0,0.0,282932.0
243,Sweden,SWE,2022,10486941.0,36.9,40.0,0.042250694495790775,0.0,0.0,94673.0
244,Switzerland,CHE,2005,7437115.0,-35.0,0.0,0.0,0.0,0.0,61388.0
245,Switzerland,CHE,2012,7996861.0,-35.1,0.0,0.0,0.0,0.0,64352.0
246,Switzerland,CHE,2022,8777088.0,38.3,302.0,0.3945855545102958,0.0,0.0,76536.0
247,Tajikistan,TJK,2008,7338403.0,-15.0,0.0,0.0,0.0,0.0,41996.0
248,Tajikistan,TJK,2012,8014084.0,-15.0,0.0,0.0,0.0,0.0,43466.0
249,Tajikistan,TJK,2013,8216724.0,-55.0,0.0,0.0,0.0,0.0,43433.0
250,Thailand,THA,2014,70216367.0,2.0,0.0,0.0,63.0,0.013284272896920368,474245.0
251,Thailand,THA,2016,70859841.0,8.6,0.0,0.0,14.0,0.0028559654999367606,490202.0
252,Türkiye,TUR,2000,65425961.0,46.0,11.0,0.0028878212701163005,0.0,0.0,380910.0
253,Türkiye,TUR,2004,68592617.0,-22.0,0.0,0.0,10.0,0.0025162360128730635,397419.0
254,Türkiye,TUR,2007,70158112.0,43.0,3.0,0.0007180589430651064,0.0,0.0,417793.0
255,Ukraine,UKR,2006,47278694.0,-30.0,0.0,0.0,0.0,0.0,763523.0
256,Ukraine,UKR,2009,46623731.0,-19.0,0.0,0.0,5.0,0.0006943181171203572,720131.0
257,Ukraine,UKR,2009,46623731.0,-15.0,0.0,0.0,27.0,0.003749317832449929,720131.0
258,Ukraine,UKR,2012,46210056.0,-30.0,0.0,0.0,112.0,0.017018560867946605,658105.0
259,United Kingdom of Great Britain and Northern Ireland,GBR,2005,60401206.0,-11.0,0.0,0.0,0.0,0.0,590615.0
260,United Kingdom of Great Britain and Northern Ireland,GBR,2013,64139000.0,40.0,760.0,0.13085444509106436,0.0,0.0,580798.0
261,United Kingdom of Great Britain and Northern Ireland,GBR,2018,66289000.0,33.2,820.0,0.13274730255862333,0.0,0.0,617715.0
262,United Kingdom of Great Britain and Northern Ireland,GBR,2019,66631000.0,38.7,161.0,0.026600314577633268,0.0,0.0,605256.0
263,United Kingdom of Great Britain and Northern Ireland,GBR,2022,67604000.0,40.3,3469.0,0.5349077827617524,0.0,0.0,648523.0
264,United States of America,USA,2000,282162411.0,38.0,35.0,0.0014439456185326707,0.0,0.0,2423914.0
265,United States of America,USA,2005,295516599.0,47.0,33.0,0.001334865597237071,0.0,0.0,2472159.0
266,United States of America,USA,2006,298379912.0,44.0,24.0,0.000978521055122945,0.0,0.0,2452681.0
267,United States of America,USA,2006,298379912.0,50.0,164.0,0.006686560543340125,0.0,0.0,2452681.0
268,United States of America,USA,2011,311839461.0,50.0,22.0,0.0008616745940729321,0.0,0.0,2553168.0
269,United States of America,USA,2012,314339099.0,40.0,123.0,0.0047908035268103884,0.0,0.0,2567419.0
270,United States of America,USA,2014,319257560.0,-37.0,0.0,0.0,21.0,0.0007980636695195543,2631369.0
271,United States of America,USA,2021,332099760.0,46.8,229.0,0.0065561961923101255,0.0,0.0,3492879.0
272,United States of America,USA,2023,336806231.0,-50.0,0.0,0.0,0.0,0.0,2975657.0
273,United States of America,USA,2023,336806231.0,56.7,14.0,0.00047048433337578896,0.0,0.0,2975657.0
274,Uruguay,URY,2000,3266206.0,-7.5,0.0,0.0,7.0,0.022548640639092902,31044.0
275,Uruguay,URY,2007,3295153.0,0.0,0.0,0.0,0.0,0.0,30727.0
