,Country,Start Year,Start Month,Total Death Heat Wave,Total Death Cold Wave + Severe Winter Conditions,Total Death Country Year,Pct Death Heat Wave,Pct Death Cold Wave + Severe Winter Conditions
193,Brazil,2022,7.0,0.0,0.0,12.0,0.0,0.0
194,Brazil,2022,9.0,0.0,0.0,11.0,0.0,0.0
195,Brazil,2022,11.0,0.0,0.0,42.0,0.0,0.0
196,Brazil,2022,12.0,0.0,0.0,2.0,0.0,0.0
197,Brazil,2023,1.0,0.0,0.0,5.0,0.0,0.0
198,Brazil,2023,2.0,0.0,0.0,67.0,0.0,0.0
199,Brazil,2023,3.0,0.0,0.0,17.0,0.0,0.0
200,Brazil,2023,4.0,0.0,0.0,0.0,0.0,0.0
201,Brazil,2023,6.0,0.0,0.0,17.0,0.0,0.0
202,Brazil,2023,7.0,0.0,0.0,25.0,0.0,0.0
203,Brazil,2023,9.0,0.0,0.0,60.0,0.0,0.0
204,Brazil,2023,10.0,0.0,0.0,0.0,0.0,0.0
205,Brazil,2023,11.0,0.0,0.0,5.0,0.0,0.0
206,Brazil,2024,1.0,0.0,0.0,23.0,0.0,0.0
207,Brazil,2024,2.0,0.0,0.0,9.0,0.0,0.0
208,Brazil,2024,3.0,0.0,0.0,34.0,0.0,0.0
209,Brazil,2024,4.0,0.0,0.0,10.0,0.0,0.0
210,Brazil,2024,5.0,0.0,0.0,209.0,0.0,0.0
211,Brazil,2024,7.0,0.0,0.0,10.0,0.0,0.0
212,Brazil,2024,8.0,0.0,0.0,62.0,0.0,0.0
213,Brazil,2024,11.0,0.0,0.0,17.0,0.0,0.0
214,Brazil,2024,12.0,0.0,0.0,55.0,0.0,0.0
215,Bulgaria,2021,1.0,0.0,0.0,0.0,0.0,0.0
216,Bulgaria,2021,8.0,0.0,0.0,0.0,0.0,0.0
217,Bulgaria,2021,11.0,0.0,0.0,44.0,0.0,0.0
218,Bulgaria,2022,9.0,0.0,0.0,0.0,0.0,0.0
219,Bulgaria,2023,9.0,0.0,0.0,4.0,0.0,0.0
220,Bulgaria,2023,11.0,0.0,0.0,2.0,0.0,0.0
221,Burkina Faso,2020,4.0,0.0,0.0,0.0,0.0,0.0
222,Burkina Faso,2020,6.0,0.0,0.0,0.0,0.0,0.0
223,Burkina Faso,2020,8.0,0.0,0.0,13.0,0.0,0.0
224,Burkina Faso,2021,2.0,0.0,0.0,11.0,0.0,0.0
225,Burkina Faso,2022,2.0,0.0,0.0,63.0,0.0,0.0
226,Burkina Faso,2023,2.0,0.0,0.0,10.0,0.0,0.0
227,Burkina Faso,2023,12.0,0.0,0.0,10.0,0.0,0.0
228,Burkina Faso,2024,5.0,0.0,0.0,0.0,0.0,0.0
229,Burundi,2020,1.0,0.0,0.0,3.0,0.0,0.0
230,Burundi,2020,3.0,0.0,0.0,2.0,0.0,0.0
231,Burundi,2020,4.0,0.0,0.0,0.0,0.0,0.0
232,Burundi,2021,4.0,0.0,0.0,0.0,0.0,0.0
233,Burundi,2021,12.0,0.0,0.0,38.0,0.0,0.0
234,Burundi,2023,3.0,0.0,0.0,14.0,0.0,0.0
235,Burundi,2023,10.0,0.0,0.0,7.0,0.0,0.0
236,Burundi,2024,3.0,0.0,0.0,0.0,0.0,0.0
237,Burundi,2024,4.0,0.0,0.0,29.0,0.0,0.0
238,Burundi,2024,7.0,0.0,0.0,0.0,0.0,0.0
239,Cabo Verde,2020,9.0,0.0,0.0,1.0,0.0,0.0
240,Cabo Verde,2023,11.0,0.0,0.0,2.0,0.0,0.0
241,Cambodia,2020,9.0,0.0,0.0,0.0,0.0,0.0
242,Cambodia,2020,10.0,0.0,0.0,44.0,0.0,0.0
243,Cambodia,2021,4.0,0.0,0.0,1.0,0.0,0.0
244,Cambodia,2021,9.0,0.0,0.0,0.0,0.0,0.0
245,Cambodia,2021,10.0,0.0,0.0,0.0,0.0,0.0
246,Cambodia,2022,9.0,0.0,0.0,36.0,0.0,0.0
247,Cambodia,2022,10.0,0.0,0.0,11.0,0.0,0.0
248,Cambodia,2022,12.0,0.0,0.0,26.0,0.0,0.0
249,Cameroon,2020,9.0,0.0,0.0,0.0,0.0,0.0
