,date,temp_max,temp_min,latitude,longitude,is_above_max_extreme,is_below_min_extreme,is_heat_wave,is_cold_wave,month,lat_int,long_int
2414,2023-05-07,17.322400000000016,3.4186600000000453,40.00000000000114,89.99999999999915,False,True,False,True,5,40,90
2415,2023-07-02,30.745570000000043,16.837500000000034,40.00000000000114,89.99999999999915,False,True,False,True,7,40,90
2416,2023-07-03,34.94960000000003,17.351,40.00000000000114,89.99999999999915,False,True,False,True,7,40,90
2417,2023-12-05,8.560330000000022,-6.611549999999966,40.00000000000114,89.99999999999915,True,False,True,False,12,40,90
2418,2023-12-06,7.891700000000014,-7.217019999999991,40.00000000000114,89.99999999999915,True,False,True,False,12,40,90
2419,2023-12-07,8.864620000000002,-6.244569999999953,40.00000000000114,89.99999999999915,True,False,True,False,12,40,90
2420,2023-12-08,7.901850000000024,-4.54316,40.00000000000114,89.99999999999915,True,False,True,False,12,40,90
2421,2024-09-28,12.576780000000042,6.200220000000002,40.00000000000114,89.99999999999915,False,True,False,True,9,40,90
2422,2024-09-29,18.03770000000003,5.736000000000047,40.00000000000114,89.99999999999915,False,True,False,True,9,40,90
2423,2024-09-30,20.01800000000003,4.303980000000024,40.00000000000114,89.99999999999915,False,True,False,True,9,40,90
2424,2024-05-16,-29.074209999999965,-34.20764999999997,-69.99999999999946,30.00000000000017,False,True,False,True,5,-70,30
2425,2024-05-17,-31.436649999999982,-35.21692999999999,-69.99999999999946,30.00000000000017,False,True,False,True,5,-70,30
2426,2024-05-18,-24.481239999999985,-34.50837999999999,-69.99999999999946,30.00000000000017,False,True,False,True,5,-70,30
2427,2020-03-04,-16.907719999999983,-23.05043999999998,60.00000000000142,-150.00000000000762,False,True,False,True,3,60,-150
2428,2020-03-05,-17.463719999999967,-21.913369999999983,60.00000000000142,-150.00000000000762,False,True,False,True,3,60,-150
2429,2020-10-30,-11.113929999999982,-16.203899999999976,60.00000000000142,-150.00000000000762,False,True,False,True,10,60,-150
2430,2020-10-31,-12.00885999999997,-17.896229999999974,60.00000000000142,-150.00000000000762,False,True,False,True,10,60,-150
2431,2021-04-09,-12.90985999999998,-20.80944999999997,60.00000000000142,-150.00000000000762,False,True,False,True,4,60,-150
2432,2021-04-10,-10.443759999999996,-18.67820999999998,60.00000000000142,-150.00000000000762,False,True,False,True,4,60,-150
2433,2021-04-18,5.509900000000016,3.107970000000023,60.00000000000142,-150.00000000000762,True,False,True,False,4,60,-150
2434,2021-04-19,5.589200000000005,1.125760000000014,60.00000000000142,-150.00000000000762,True,False,True,False,4,60,-150
2435,2021-09-25,-3.351169999999968,-7.127449999999953,60.00000000000142,-150.00000000000762,False,True,False,True,9,60,-150
2436,2021-09-26,-3.381569999999954,-8.882479999999987,60.00000000000142,-150.00000000000762,False,True,False,True,9,60,-150
2437,2021-09-27,-4.217839999999967,-7.675939999999969,60.00000000000142,-150.00000000000762,False,True,False,True,9,60,-150
2438,2021-09-29,-1.1835399999999936,-7.623400000000004,60.00000000000142,-150.00000000000762,False,True,False,True,9,60,-150
2439,2021-09-30,-4.534249999999986,-9.433449999999992,60.00000000000142,-150.00000000000762,False,True,False,True,9,60,-150
2440,2022-05-28,8.368550000000027,3.05197000000004,60.00000000000142,-150.00000000000762,True,False,True,False,5,60,-150
2441,2022-05-29,8.726600000000019,4.508500000000026,60.00000000000142,-150.00000000000762,True,False,True,False,5,60,-150
2442,2024-02-01,-22.817759999999964,-25.588689999999986,60.00000000000142,-150.00000000000762,False,True,False,True,2,60,-150
2443,2024-02-02,-22.89660999999998,-26.00303999999997,60.00000000000142,-150.00000000000762,False,True,False,True,2,60,-150
2444,2022-06-19,29.534050000000036,20.23046000000005,8.35914670815896e-13,20.0,False,True,False,True,6,0,20
2445,2022-06-20,30.538350000000037,20.409880000000044,8.35914670815896e-13,20.0,False,True,False,True,6,0,20
2446,2024-11-15,25.01382000000001,20.516380000000023,8.35914670815896e-13,20.0,False,True,False,True,11,0,20
2447,2024-11-16,28.687220000000025,19.924830000000043,8.35914670815896e-13,20.0,False,True,False,True,11,0,20
2448,2020-04-24,-7.660529999999994,-28.731589999999983,30.000000000000995,89.99999999999915,False,True,False,True,4,30,90
2449,2020-04-25,-7.576819999999998,-29.29473999999999,30.000000000000995,89.99999999999915,False,True,False,True,4,30,90
2450,2020-08-17,6.104030000000023,-6.934849999999983,30.000000000000995,89.99999999999915,False,True,False,True,8,30,90
2451,2020-08-18,7.325600000000008,-6.8909400000000005,30.000000000000995,89.99999999999915,False,True,False,True,8,30,90
2452,2021-09-27,-1.807230000000004,-14.782299999999964,30.000000000000995,89.99999999999915,False,True,False,True,9,30,90
2453,2021-09-28,-4.048699999999997,-15.528300000000002,30.000000000000995,89.99999999999915,False,True,False,True,9,30,90
2454,2021-09-29,-1.9406999999999923,-11.802679999999953,30.000000000000995,89.99999999999915,False,True,False,True,9,30,90
2455,2021-09-30,-1.66413,-14.752899999999954,30.000000000000995,89.99999999999915,False,True,False,True,9,30,90
2456,2022-02-05,-16.666719999999998,-32.361699999999985,30.000000000000995,89.99999999999915,False,True,False,True,2,30,90
