,disaster_subtype,country,subregion,region,location,temperature,magnitude_scale,start_year,start_month,total_deaths,start_date,end_date,duration_days
18,Heat wave,Spain,Southern Europe,Europe,"Cataluña/Catalunya, Comunitat Valenciana provinces",40.0,°C,2006,7,21.0,2006-07-15,2006-08-04,20 days
19,Heat wave,France,Western Europe,Europe,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",37.0,°C,2006,7,1388.0,2006-07-15,2006-07-23,8 days
20,Heat wave,Netherlands (Kingdom of the),Western Europe,Europe,"Drenthe, Flevoland, Friesland, Gelderland, Groninge, Limburg, Noord-brabant, Noord-holland,Overijssel, Utrecht, Zeeland, Zuit-holland provinces",34.0,°C,2006,7,1000.0,2006-07-15,2006-07-23,8 days
21,Heat wave,Portugal,Southern Europe,Europe,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guadra, Leiria, Lisboa, Portoalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu provinces",47.0,°C,2006,7,41.0,2006-07-11,2006-07-17,6 days
22,Heat wave,United States of America,Northern America,Americas,"Modesto city (Stanislaus district, California province)",50.0,°C,2006,7,164.0,2006-07-14,2006-08-15,32 days
23,Heat wave,United States of America,Northern America,Americas,New York province,44.0,°C,2006,7,24.0,2006-07-30,2006-08-06,7 days
24,Heat wave,Slovakia,Eastern Europe,Europe,"Banska Bystrica, Bratislava, Kosice, Nitra, Presov, Trencin, Trnava, Zilna provinces",40.3,°C,2007,7,1.0,2007-07-15,2007-07-22,7 days
25,Heat wave,India,Southern Asia,Asia,"Orissa, West Bengal, Bihar, Uttar Pradesh, Jharkhand, Andhra Pradesh provinces",48.0,°C,2009,4,120.0,2009-04-14,2009-06-26,73 days
26,Heat wave,Australia,Australia and New Zealand,Oceania,"Victoria, New South wales (South), Tasmania (Northern) provinces",48.8,°C,2009,1,347.0,2009-01-27,2009-02-08,12 days
27,Heat wave,Japan,Eastern Asia,Asia,"Aiti, Ehime, Gifu, Gunma, Hirosima, Hukui, Hukuoka, Hukusima, Hyoogo, Ibaraki, Isikawa, Kagawa, Kagosima, Kanagawa, Kooti, Kumamoto, Kyooto, Mie, Miyagi, Miyazaki, Nagano, Nagasaki, Nara, Niigata, Okayama, Okinawa, Ooita, Oosaka, Saga, Saitama, Siga, Simane, Sizuoka, Tiba, Tokusima, Tookyoo, Totigi, Tottori, Toyama, Wakayama, Yamagata, Yamaguti, Yamanasi provinces",35.0,°C,2010,7,170.0,2010-07-19,2010-07-25,6 days
28,Heat wave,United States of America,Northern America,Americas,"New York, Washington, Texas, Ohio, Maine, Iowa, Illinois, Minnesota, Nebraska, Wisconsin, South Dakota provinces",50.0,°C,2011,7,22.0,2011-07-19,2011-07-22,3 days
29,Heat wave,Italy,Southern Europe,Europe,"Milano district (Lombardia province), Torino district (Piemonte province), Trieste district (Friuli-venezia Giulia province), Verona district (Veneto province), Messina district (Sicilia province), Roma district (Lazio province), Napoli district (Campania province)",47.0,°C,2011,8,10.0,2011-08-17,2011-08-24,7 days
30,Heat wave,United States of America,Northern America,Americas,"District of Columbia, Iowa, Virginia, North Carolina provinces",40.0,°C,2012,6,123.0,2012-06-30,2012-07-19,19 days
31,Heat wave,India,Southern Asia,Asia,"Adilabad, East Godavari, Guntur, Karimnagar, Khammam, Krishna, Nalgonda, Nizamabad, Prakasam, Vishakhapatnam, Warangal, West Godavari districts (Andhra Pradesh province)",46.0,°C,2013,4,557.0,2013-04-01,2013-05-30,59 days
32,Heat wave,China,Eastern Asia,Asia,Shanghai Shi province,,°C,2013,7,40.0,2013-07-01,2013-08-15,45 days
